Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
2022-01-03,0412,AAL2804,A319,11000,ZFW,Blue,No,Fort Worth,Texas
2022-01-03,0510,SWA1462,B738,3000,HCF,Green,No,Honolulu,Hawaii
2022-01-03,0610,NAC8201,B763,200,HCF,Green,No,Honolulu,Hawaii
2022-01-03,0830,HAL568,B712,2000,HCF,Green,No,Honolulu,Hawaii
2022-01-03,2302,N502RK,C150,1600,LOU,Green,No,Louisville,Kentucky
2022-01-03,2323,RPA5695,E75S,14000,ZBW,Green,No,Nashua,New Hampshire
2022-01-03,2343,EJM82,F2TH,7500,Y90,Green,No,Fort Wayne,Indiana
2022-01-04,0040,NKS141,A20N,3400,ZID,Green,No,Indianapolis,Indiana
2022-01-04,0050,SWA1327,B738,39000,ZFW,Blue,No,Fort Worth,Texas
2022-01-04,0105,SWA1721,B737,Unk,PCT,Unk,No,Warrenton,Virginia
2022-01-04,0206,N661LF,PC12,6000,PSC,Green,No,Pasco,Washington
2022-01-04,0212,ENY4247,E170,31000,ZFW,Blue,No,Fort Worth,Texas
2022-01-04,0224,N3184T,R44,500,GYR,Green,No,Goodyear,Arizona
2022-01-04,0225,UAL1287,B737,3000,ZSU,Green,No,San Juan,Puerto Rico
2022-01-04,0229,ENY3885,E170,2500,ICT,Green,No,Wichita,Kansas
2022-01-04,0240,SKW3262,CRJ7,7500,BFL,Green,No,Bakersfield,California
2022-01-04,0315,EDV4671,CRJ9,26000,ZME,Green,No,Memphis,Tennessee
2022-01-04,0410,UAL2088,B739,23000,ZAU,Blue,No,Aurora,Illinois
2022-01-04,0410,DAL793,A321,19000,S56,Green,No,Salt Lake City,Utah
2022-01-04,0411,DAL315,B739,19000,S56,Green,No,Salt Lake City,Utah
2022-01-04,0412,SKW3482,E75L,1500,PDX,Blue,No,Portland,Oregon
2022-01-04,0415,CJT916,B763,11000,CVG,Green,No,Covington,Kentucky
2022-01-04,0430,AAL1207,A321,7000,U90,Green,No,Tucson,Arizona
2022-01-04,0535,JUS196,DC91,2000,BRO,Green,No,Brownsville,Texas
2022-01-04,0835,LBQ611,PC12,21000,ZFW,Green,No,Fort Worth,Texas
2022-01-04,0845,JBU005B,A320,1000,PDX,Green,No,Portland,Oregon
2022-01-04,0927,ASA121,B739,8000,A11,Green,No,Anchorage,Alaska
2022-01-04,1035,AAL479,B737,21000,ZBW,Green,No,Nashua,New Hampshire
2022-01-04,1107,LBQ651,PC12,24000,ZKC,Green,No,Olathe,Kansas
2022-01-04,1112,FDX1466,B763,20000,ZME,Blue,No,Memphis,Tennessee
2022-01-04,2230,SKIER94,C130,3000,SYR,Green,No,Syracuse,New York
2022-01-04,2300,N449BA,R44,4000,YNG,Green,No,Youngstown/Warren,Ohio
2022-01-04,2340,AAY1952,A320,3000,TPA,Green,No,Tampa,Florida
2022-01-04,2340,ALLEY85,BE40,24000,ZTL,Green,No,Hampton,Georgia
2022-01-04,2354,EDV4882,CRJ7,15800,ZOB,Green,No,Oberlin,Ohio
2022-01-05,0015,GLT777,C560,35000,ZFW,Green,No,Fort Worth,Texas
2022-01-05,0045,MRA695,C208,6000,CAE,White,No,Columbia,South Carolina
2022-01-05,0047,AMF7207,E120,27000,ZFW,Green,No,Fort Worth,Texas
2022-01-05,0110,AAL1220,B788,33000,ZFW,Green,No,Fort Worth,Texas
2022-01-05,0110,RPA4570,E75L,23000,ZID,Green,No,Indianapolis,Indiana
2022-01-05,0111,FDX1445,A306,9000,CAE,Green,No,Columbia,South Carolina
2022-01-05,0140,SKW5774,CRJ2,10000,LAX,Green,No,Los Angeles,California
2022-01-05,0230,SWA3333,B737,10800,RDU,Green,No,Raleigh/Durham,North Carolina
2022-01-05,0240,UPS773,B757,37000,ZFW,Green,No,Fort Worth,Texas
2022-01-05,0300,UAL1178,B737,11000,ZBW,Green,No,Nashua,New Hampshire
2022-01-05,0330,SKW5373,CRJ2,2500,FAT,Green,No,Fresno,California
2022-01-05,0337,SWA6067,B737,39000,ZFW,Blue,No,Fort Worth,Texas
2022-01-05,0341,N834AT,PA44,8500,SHV,Blue,No,Shreveport,Louisiana
2022-01-05,0343,AIRE2,B06,3000,TUS,Red,No,Tucson,Arizona
2022-01-05,0346,BXR1461,C208,1500,MHR,Green,No,Sacramento,California
2022-01-05,0400,LN238VM,PC12,6800,BFL,Green,No,Bakersfield,California
2022-01-05,0420,SWA3214,B737,10000,I90,Green,No,Houston,Texas
2022-01-05,0449,N2122Q,M20P,8000,JCF,Green,No,Edwards AFB,California
2022-01-05,0540,HAL526,B712,2000,OGG,Green,No,Kahului,Hawaii
2022-01-05,0550,ASA9850,B737,5000,SCT,Green,No,San Diego,California
2022-01-05,0550,FDX1307,B763,34000,ZID,Green,No,Indianapolis,Indiana
2022-01-05,0638,SWA6242,B737,5000,SCT,Green,No,San Diego,California
2022-01-05,2321,LBTY124,C172,4000,ROA,Green,No,Roanoke,Virginia
2022-01-05,2325,LBTY199,C172,3000,ROA,Green,No,Roanoke,Virginia
2022-01-05,2334,N475BL,DA40,4500,RDU,Green,No,Raleigh/Durham,North Carolina
2022-01-05,2349,HWA3005,B737,13000,ZTL,Green,No,Hampton,Georgia
2022-01-06,0010,RPA4714,E75S,7000,PIT,Green,No,Pittsburgh,Pennsylvania
2022-01-06,0013,AAL1588,A321,7000,D10,Green,No,Dallas-Fort Worth,Texas
2022-01-06,0018,RPA5825,E75L,9000,BNA,Green,No,Nashville,Tennessee
2022-01-06,0113,AAL2235,A321,14000,ZFW,Green,No,Fort Worth,Texas
2022-01-06,0115,BVN7282,C208,3000,ZHU,Green,No,Houston,Texas
2022-01-06,0136,FNX1981,C404,10000,ZTL,Green,No,Hampton,Georgia
2022-01-06,0159,SWA313,B737,34000,ZHU,Green,No,Houston,Texas
2022-01-06,0232,N737DW,C172,1000,LGB,Green,No,Long Beach,California
2022-01-06,0253,GTX506,C210,4000,ZME,Green,No,Memphis,Tennessee
2022-01-06,0320,AIRR1,HELO,3500,TLH,Red,No,Tallahassee,Florida
2022-01-06,0505,BYA584,E120,2500,LIT,Green,No,Little Rock,Arkansas
2022-01-06,0950,FDX1409,B752,35000,ZJX,Green,No,Hillard,Florida
2022-01-06,2352,JBU1475,A320,1000,SJU,White,No,San Juan,Puerto Rico
2022-01-07,0014,N34BL,C172,3000,RDU,Green,No,Raleigh/Durham,North Carolina
2022-01-07,0036,AAL50,B77W,6000,D10,Green,No,Dallas-Fort Worth,Texas
2022-01-07,0104,ASH6351,E175,33000,ZFW,Blue,No,Fort Worth,Texas
2022-01-07,0121,N7320J,C172,15000,RAL,Green,No,Riverside,California
2022-01-07,0146,STGRY30,BE9L,5000,CRP,Green,No,Corpus Christi,Texas
2022-01-07,0150,SWA4234,B737,7000,I90,Green,No,Houston,Texas
2022-01-07,0153,N1471E,C172,2000,I90,Green,No,Houston,Texas
2022-01-07,0217,QXE2026,E75L,5000,BOI,Green,No,Boise,Idaho
2022-01-07,0224,VTE509,E135,5000,BOI,Green,No,Boise,Idaho
2022-01-07,0233,N216DG,DA40,15000,RAL,Green,No,Riverside,California
2022-01-07,0233,N333WT,BE9T,3000,ZMP,Blue,No,Dodge Center,Minnesota
2022-01-07,0239,ASA201,B737,20000,ZLA,Green,No,Palmsdale,California
2022-01-07,0335,AAL1605,B738,1800,RDU,Green,No,Raleigh/Durham,North Carolina
2022-01-07,0338,QXE2075,DH8D,4000,BOI,Green And Red,No,Boise,Idaho
2022-01-07,0347,SKW3805,E75L,2000,LAX,Green,No,Los Angeles,California
2022-01-07,0353,ASA12,B739,2400,SEA,Green,No,Seattle,Washington
2022-01-07,0355,AAY1623,A320,300,RSW,Green,No,Fort Myers,Florida
2022-01-07,0355,ASA227,B739,2500,S46,Green,No,Burien,Washington
2022-01-07,0359,AAL810,A321,4400,ONT,Green,No,Ontario,California
2022-01-07,0400,FDY807,C208,2000,LAX,Green,No,Los Angeles,California
2022-01-07,0406,AAL2009,A321,2200,SEA,Green,No,Seattle,Washington
2022-01-07,0414,VOC4090,A319,2000,LAX,Green,No,Los Angeles,California
2022-01-07,0418,DAL1522,B738,2200,SEA,Green,No,Seattle,Washington
2022-01-07,0423,MV21,HELO,3000,LAS,Green,No,Las Vegas,Nevada
2022-01-07,0445,QXE2426,DH8D,8500,BOI,Green,No,Boise,Idaho
2022-01-07,0450,AAL2436,B738,34000,ZTL,Green,No,Hampton,Georgia
2022-01-07,0540,MA21,HELO,2600,LAS,Green,No,Las Vegas,Nevada
2022-01-07,0551,DAL2780,B738,1200,SAN,Green,No,San Diego,California
2022-01-07,0605,QXE2570,E75L,2100,SEA,Green,No,Seattle,Washington
2022-01-07,0750,UAL2611,B78M,35000,ZDV,Blue,No,Longmont,Colorado
2022-01-07,0908,FRBD1,HELO,1600,PHX,Green,No,Phoenix,Arizona
2022-01-07,2303,N383CA,DA40,2100,PTK,Green,No,Pontiac,Michigan
2022-01-08,0000,UAL1687,A320,2000,MIA,Green,No,Miami,Florida
2022-01-08,0001,MTN7110,ATR43,2500,BQN,Green,No,Aguadilla,Puerto Rico
2022-01-08,0007,NKS3160,A320,2000,MIA,Green,No,Miami,Florida
2022-01-08,0009,N8359E,P28R,2200,LAL,Green,No,Lakeland,Florida
2022-01-08,0017,JIA5187,CRJ9,1500,SDF,Green,No,Louisville,Kentucky
2022-01-08,0018,RPA4871,E75L,3000,PCT,Green,No,Warrenton,Virginia
2022-01-08,0023,JIA5138,CRJ7,3000,PCT,Green,No,Warrenton,Virginia
2022-01-08,0146,SKW4704,CRJ2,10000,ABQ,Green,No,Albuquerque,New Mexico
2022-01-08,0152,JBU33,A321,2000,SFO,Blue,No,San Francisco,California
2022-01-08,0155,LXJ584,CL35,1800,SFO,Blue,No,San Francisco,California
2022-01-08,0224,DAL719,A321,1800,SFO,Blue,No,San Francisco,California
2022-01-08,0226,SKW3473,E75L,1800,SFO,Blue,No,San Francisco,California
2022-01-08,0228,SKW3700,E75L,1800,SFO,Blue,No,San Francisco,California
2022-01-08,0230,AAY113,A320,3000,GRB,Blue,No,Green Bay,Wisconsin
2022-01-08,0233,SKW4720,CRJ7,14000,D01,Green,No,Denver,Colorado
2022-01-08,0245,NKS3119,A320,5000,N90,Green,No,Westbury,New York
2022-01-08,0247,SCX8183,B738,15000,ZHU,Green,No,Houston,Texas
2022-01-08,0310,NKS2956,A320,2000,SEA,Green,No,Seattle,Washington
2022-01-08,0335,C2701,C27J,19000,NCT,Green,No,Mather,California
2022-01-08,0352,SKW3749,CRJ2,9500,ZMP,Blue,No,Dodge Center,Minnesota
2022-01-08,0404,QXE2223,DH8D,12000,SEA,Green,No,Seattle,Washington
2022-01-08,0407,ASA39,B739,1200,SEA,Green,No,Seattle,Washington
2022-01-08,0409,UAL1476,B737,20000,ZDC,Green,No,Leesburg,Virginia
2022-01-08,0429,QXE2099,DH8D,1200,SEA,Green,No,Seattle,Washington
2022-01-08,0525,KII433,B734,11000,CVG,Blue,No,Covington,Kentucky
2022-01-08,0529,ASA1186,B39M,3500,P80,Green,No,Portland,Oregon
2022-01-08,0543,UPS613,A306,11000,SDF,Green,No,Louisville,Kentucky
2022-01-08,0600,SWA3015,B737,9000,NCT,Green,No,Mather,California
2022-01-08,0607,N949RD,S22T,4000,EUG,Green,No,Eugene,Oregon
2022-01-08,0819,RCH5009,C5,0,HCF,Green,No,Honolulu,Hawaii
2022-01-08,1225,FDX1857,MD11,38000,ZSE,Green,No,Auburn,Washington
2022-01-08,2245,N85LF,SK76,1000,ISP,Unk,No,New York,New York
2022-01-08,2252,N63973,PA23,3000,ZID,Green,No,Indianapolis,Indiana
2022-01-08,2252,N544TH,C172,4500,PIT,Green,No,Pittsburgh,Pennsylvania
2022-01-08,2325,DAL339,B764,8000,A80,Green,No,Peachtree City,Georgia
2022-01-08,2347,MTU90,DA40,1800,BNA,Green,No,Nashville,Tennessee
2022-01-09,0110,RPA3599,E170,30000,ZTL,Green,No,Hampton,Georgia
2022-01-09,0110,DAL957,B739,11000,S56,Green,No,Salt Lake City,Utah
2022-01-09,0154,POL45,R44,1100,EMT,Green,No,El Monte,California
2022-01-09,0155,KSF43,C172,4500,BUF,Green,No,Buffalo,New York
2022-01-09,0158,LXJ431,E545,3000,NCT,Green,No,Mather,California
2022-01-09,0215,N239VA,RV12,5000,BOI,Green,No,Boise,Idaho
2022-01-09,0219,N91RZ,CH2T,3700,NCT,Green And Red,No,Mather,California
2022-01-09,0249,SKW3366,E175,4000,NCT,Blue,No,Mather,California
2022-01-09,0300,N208LS,C208,6000,P31,Green,No,Pensacola,Florida
2022-01-09,0314,SWA2231,B737,9000,JCF,Green,No,Edwards AFB,California
2022-01-09,0316,ASA190,B737,2000,SFO,Green,No,San Francisco,California
2022-01-09,0316,ASA316,A320,2500,NCT,Blue,No,Mather,California
2022-01-09,0316,FFL594,C501,5000,NCT,Blue,No,Mather,California
2022-01-09,0324,UAL305,B777,2000,SFO,Green,No,San Francisco,California
2022-01-09,0328,SKW5614,E75L,1300,LAX,Green,No,Los Angeles,California
2022-01-09,0335,N212AL,PC12,6000,PSC,Green,No,Pasco,Washington
2022-01-09,0417,HAL34,A332,1300,LAX,Green,No,Los Angeles,California
2022-01-09,0421,JBU1849,A320,1500,PSP,Green,No,Palm Springs,California
2022-01-09,0424,DAL995,A321,1300,LAX,Green,No,Los Angeles,California
2022-01-09,0439,ASH6088,E170,7000,ELP,Green,No,El Paso,Texas
2022-01-09,0504,FDX3745,B763,2200,LAX,Green,No,Los Angeles,California
2022-01-09,2249,DAL131,B763,3000,A80,Green,No,Peachtree City,Georgia
2022-01-09,2308,N9806E,C182,3000,ZSU,Green,No,San Juan,Puerto Rico
2022-01-09,2348,JBU40,A320,4000,MIA,Green,No,Miami,Florida
2022-01-10,0010,AAL2363,B738,10000,C90,Green,No,Elgin,Illinois
2022-01-10,0012,SKW4762,E75L,9000,C90,Green,No,Elgin,Illinois
2022-01-10,0021,N346JV,P46T,26000,ZAU,Green,No,Aurora,Illinois
2022-01-10,0038,N200WX,BE20,2600,LRD,Green And Red,No,Laredo,Texas
2022-01-10,0054,UAL1209,B78X,2500,SFO,Blue ,No,San Francisco,California
2022-01-10,0130,QXE2026,E75L,6500,BOI,Green,No,Boise,Idaho
2022-01-10,0200,ENY3882,E145,11000,MOB,Blue,No,Mobile,Alabama
2022-01-10,0210,N793FS,B350,3000,NCT,Blue,No,Mather,California
2022-01-10,0232,AM20,HELO,600,SLC,Green,No,Salt Lake City,Utah
2022-01-10,0249,AAY1196,A320,23000,ZKC,Green,No,Olathe,Kansas
2022-01-10,0255,NKS326,A319,22000,ZLA,Blue,No,Palmsdale,California
2022-01-10,0303,DAL1569,BCS1,10000,CVG,Green,No,Covington,Kentucky
2022-01-10,0325,ASA177,B739,2000,SEA,Green,No,Seattle,Washington
2022-01-10,0326,DAL1837,B738,2500,S46,Green,No,Burien,Washington
2022-01-10,0327,VOI896,A320,2000,SEA,Green,No,Seattle,Washington
2022-01-10,0345,ASA211,B738,4000,SEA,Green,No,Seattle,Washington
2022-01-10,0400,N730SC,P28A,9500,S56,Green,No,Salt Lake City,Utah
2022-01-10,0420,UAL298,A320,4000,ZDC,Green,No,Leesburg,Virginia
2022-01-10,0435,GTX511,BE58,4000,ZFW,Green,No,Fort Worth,Texas
2022-01-10,0436,ENY3917,E170,4000,SDF,Green,No,Louisville,Kentucky
2022-01-10,0442,DAL1739,B737,2200,BNA,Green,No,Nashville,Tennessee
2022-01-10,0509,QXE2580,E75L,11500,S46,Green,No,Burien,Washington
2022-01-10,0610,SWA484,B738,5700,SLC,Green,No,Salt Lake City,Utah
2022-01-10,0658,JBU2843,A320,2500,SFO,Blue,No,San Francisco,California
2022-01-10,0806,ASA33,B739,8000,P80,Blue,No,Portland,Oregon
2022-01-10,1200,AWI3767,CRJ2,11000,ZTL,Blue,No,Hampton,Georgia
2022-01-11,0004,N13151,C712,3000,BED,Green,No,Bedford,Massachusetts
2022-01-11,0010,AAY2812,A320,23000,ZJX,Green,No,Hillard,Florida
2022-01-11,0012,N811LA,BE36,4000,CMH,Green,No,Columbus,Ohio
2022-01-11,0018,N887A,C172,3500,CMH,Green,No,Columbus,Ohio
2022-01-11,0037,PELCN95,P80,4000,TYS,Green,No,Knoxville,Tennessee
2022-01-11,0120,SWA3074,B737,1100,DAL,Blue,No,Dallas ,Texas
2022-01-11,0131,BB100,TEX2,3500,P31,Green,No,Pensacola,Florida
2022-01-11,0155,NKS2811,A320,10000,P80,Green,No,Portland,Oregon
2022-01-11,0200,DAL642,B752,12000,S56,Green,No,Salt Lake City,Utah
2022-01-11,0200,NDU5TM,PA44,5500,ZMP,Blue,No,Dodge Center,Minnesota
2022-01-11,0210,AMF1961,B190,2000,BFI,Green,No,Seattle,Washington
2022-01-11,0222,SWA5166,B737,3500,SAT,Green,No,San Antonio,Texas
2022-01-11,0228,N540CW,P28A,4000,PSC,Green,No,Pasco,Washington
2022-01-11,0247,N176AE,HELO,2500,SDF,Green,No,Louisville,Kentucky
2022-01-11,0305,N490KQ,KODI,5500,MWH,Green,No,Moses Lake ,Washington
2022-01-11,0324,SWA3030,B737,6000,TUL,Green,No,Tulsa,Oklahoma
2022-01-11,0329,UPS905,B767,4000,SCT,Green,No,San Diego,California
2022-01-11,0330,JIA5533,CRJ9,12000,ZHU,Green,No,Houston,Texas
2022-01-11,0415,CKS405,B767,16000,NCT,Green,No,Mather,California
2022-01-11,0420,UAL1853,B739,7000,NCT,Blue,No,Mather,California
2022-01-11,0420,UAL230,A320,12000,SFO,Green,No,San Francisco,California
2022-01-11,0500,MTN7305,C208,5000,PHL,Green,No,Philadelphia,Pennsylvania
2022-01-11,0505,SWA2098,B737,13000,NCT,Green,No,Mather,California
2022-01-11,0506,FFT2077,A20N,16000,NCT,Green,No,Mather,California
2022-01-11,0605,ASA1196,A320,2000,LAX,Green,No,Los Angeles,California
2022-01-11,0618,LN911ZF,BE9L,4200,HCF,Purple,No,Honolulu,Hawaii
2022-01-11,0848,ASA892,B738,5000,SCT,Green,No,San Diego,California
2022-01-11,1100,AAL1809,A321,23000,ZTL,Green,No,Hampton,Georgia
2022-01-11,1340,N520MB,E550,Unk,SLC,Unk,No,Salt Lake City,Utah
2022-01-11,2238,HPJ170,LJ45,4000,A90,White,No,Merrimack,New Hampshire
2022-01-11,2321,KAP407,C402,6500,BTV,Green,No,Burlington,Vermont
2022-01-11,2326,EDV5383,CRJ9,23000,ZBW,Green,No,Nashua,New Hampshire
2022-01-11,2330,FDX327,B752,7500,HTS,Green,No,Huntington,West Virginia
2022-01-12,0002,N64413,C172,4500,ZME,Green,No,Memphis,Tennessee
2022-01-12,0017,FFT2570,A20N,19000,ZBW,Blue,No,Nashua,New Hampshire
2022-01-12,0028,BMJ1232,SW4,12000,ZMP,Green,No,Dodge Center,Minnesota
2022-01-12,0042,NDU81T,PA44,4000,ZMP,Blue,No,Dodge Center,Minnesota
2022-01-12,0113,FDX1376,B752,23000,ZME,Green,No,Memphis,Tennessee
2022-01-12,0117,SWA3863,B738,38000,ZME,Green,No,Memphis,Tennessee
2022-01-12,0143,SWA4491,B737,2200,HOU,Unk,No,Houston,Texas
2022-01-12,0145,N916FT,C172,2500,BFL,Green,No,Bakersfield,California
2022-01-12,0156,HGT3325,E45X,5000,P50,Green,No,Phoenix,Arizona
2022-01-12,0215,USC101,LJ35,15000,ZJX,Green,No,Hillard,Florida
2022-01-12,0220,BAW92W,B789,39000,ZID,Green,No,Indianapolis,Indiana
2022-01-12,0301,BXR1983,C208,1200,RDD,Green,No,Redding,California
2022-01-12,0310,ASA1277,A320,1200,SFO,Blue,No,San Francisco,California
2022-01-12,0313,SKW3454,E75L,7000,NCT,Green,No,Mather,California
2022-01-12,0330,DAL311,B767,6500,NCT,Blue,No,Mather,California
2022-01-12,0341,OXF2087,P28A,2000,IWA,Green,No,Phoenix,Arizona
2022-01-12,0359,SWA4097,B737,12000,JCF,Green,No,Edwards AFB,California
2022-01-12,0410,DAL1397,BSC1,8000,A90,Green,No,Merrimack,New Hampshire
2022-01-12,0449,GTI3800,B763,5000,P80,Blue,No,Portland,Oregon
2022-01-12,0455,OST29,PA44,3500,OKC,Purple,No,Oklahoma City,Oklahoma
2022-01-12,0507,FDX1604,B763,14000,IND,Green,No,Indianapolis,Indiana
2022-01-12,0514,SNC1465,SH36,7000,IND,Green,No,Indianapolis,Indiana
2022-01-12,0516,NKS1,A321,30000,ZAU,Green,No,Aurora,Illinois
2022-01-12,0555,CFS7276,AT72,19000,ZFW,Green,No,Fort Worth,Texas
2022-01-12,0638,SWQ917,B738,5000,CVG,Green,No,Covington,Kentucky
2022-01-12,0730,CJT920,B763,11000,CVG,Blue,No,Covington,Kentucky
2022-01-12,1004,FDX2628,B767,11000,IND,Green,No,Indianapolis,Indiana
2022-01-12,1045,EDV4782,CRJ2,Unk,ZOB,Unk,No,Oberlin,Ohio
2022-01-12,1305,FDX77,B777,Unk,NCT,Unk,No,Mather,California
2022-01-12,1415,UPS848,A306,Unk,BOI,Unk,No,Boise,Idaho
2022-01-12,2236,GPD107B,PC12,800,SJU,Green,No,San Juan,Puerto Rico
2022-01-12,2318,OSU14,C172,3500,CMH,Green,No,Columbus,Ohio
2022-01-13,0004,UPS5508,A306,14000,ZID,Green,No,Indianapolis,Indiana
2022-01-13,0005,N475DC,DA40,4300,ZID,Blue,No,Indianapolis,Indiana
2022-01-13,0028,JBU2251,A321,8000,F11,Green,No,Orlando,Florida
2022-01-13,0032,KONA250,C182,4500,I90,Green,No,Houston,Texas
2022-01-13,0110,RPA5602,E75L,2000,BOS,Green,No,Boston,Massachusetts
2022-01-13,0128,SKW5762,E75L,13000,S56,Green,No,Salt Lake City,Utah
2022-01-13,0130,SWA3634,B737,17000,ZBW,Green,No,Nashua,New Hampshire
2022-01-13,0135,DAL691,BCS3,6000,D10,Green,No,Dallas-Fort Worth,Texas
2022-01-13,0137,SWA1644,B737,10000,PIT,Green,No,Pittsburgh,Pennsylvania
2022-01-13,0140,N172WG,C172,5300,AUS,Green,No,Austin,Texas
2022-01-13,0144,SKW3616,E75L,13000,S56,Green,No,Salt Lake City,Utah
2022-01-13,0146,N346D,PA28,4100,GMU,Green,No,Greenville,South Carolina
2022-01-13,0152,N9501F,C172,1400,NCT,Green,No,Mather,California
2022-01-13,0156,SKW3356,E75L,3500,PSP,Blue,No,Palm Springs,California
2022-01-13,0205,PCM7679,C208,4000,NCT,Green,No,Mather,California
2022-01-13,0205,N301MF,EC35,2000,MLI,Green,No,Moline,Illinois
2022-01-13,0207,EDV5390,CRJ9,100,CLE,Green,No,Cleveland,Ohio
2022-01-13,0210,NKS1167,A320,7000,P50,Green,No,Phoenix,Arizona
2022-01-13,0216,IDAHO72,AS50,700,FMY,Blue,No,Fort Myers,Florida
2022-01-13,0237,LTA42,SR22,4500,SBN,Green,No,South Bend,Indiana
2022-01-13,0240,RHINO50,C17,8000,CMH,Green,No,Columbus,Ohio
2022-01-13,0257,JAKAL18,C30J,14000,OKC,Green,No,Oklahoma City,Oklahoma
2022-01-13,0258,N480ST,RV12,2100,S46,Green,No,Burien,Washington
2022-01-13,0303,ABX903,B762,1500,SEA,Green,No,Seattle,Washington
2022-01-13,0305,WAV829,PA31,1500,FAI,Green,No,Fairbanks,Alaska
2022-01-13,0315,SWA381,B737,2500,NCT,Green,No,Mather,California
2022-01-13,0315,N88JA,C172,3000,CMH,Green And Red,No,Columbus,Ohio
2022-01-13,0327,REH27,EC30,2000,POC,Green,No,La Verne,California
2022-01-13,0332,SKW3562,E75L,4500,PHX,Green,No,Phoenix,Arizona
2022-01-13,0333,ASA12,B739,4000,S46,Green,No,Burien,Washington
2022-01-13,0333,ASA1078,B739,1000,SEA,Green,No,Seattle,Washington
